# BEGIN interval_us=1000 steps=247500 dir=1 micro=32 accbits=13 preroll=2000
step,adc
001009,04072
001010,04072
001011,04072
001012,04072
001013,04071
001014,04072
001015,04075
001016,04070
001017,04072
001018,04070
001019,04072
001020,04072
001021,04072
001022,04072
001023,04072
001024,04073
001025,04071
001026,04073
001027,04071
001028,04071
001029,04072
001030,04073
001031,04072
001032,04068
001033,04071
001034,04072
001035,04072
001036,04072
001037,04073
001038,04072
001039,04071
001040,04073
001041,04073
001042,04072
001043,04072
001044,04072
001045,04071
001046,04071
001047,04069
001048,04072
001049,04075
001050,04073
001051,04074
001052,04071
001053,04076
001054,04071
001055,04072
001056,04077
001057,04074
001058,04071
001059,04072
001060,04071
001061,04072
001062,04071
001063,04071
001064,04074
001065,04072
001066,04071
001067,04073
001068,04072
001069,04072
001070,04074
001071,04072
001072,04073
001073,04073
001074,04071
001075,04071
001076,04072
001077,04073
001078,04072
001079,04073
001080,04072
001081,04070
001082,04073
001083,04071
001084,04070
001085,04071
001086,04071
001087,04072
001088,04071
001089,04073
001090,04073
001091,04071
001092,04072
001093,04070
001094,04070
001095,04072
001096,04075
001097,04071
001098,04072
001099,04076
001100,04072
001101,04070
001102,04074
001103,04072
001104,04072
001105,04069
001106,04074
001107,04072
001108,04074
001109,04071
001110,04072
001111,04076
001112,04071
001113,04073
001114,04073
001115,04073
001116,04070
001117,04071
001118,04071
001119,04073
001120,04071
001121,04069
001122,04073
001123,04073
001124,04072
001125,04069
001126,04072
001127,04071
001128,04072
001129,04070
001130,04072
001131,04072
001132,04074
001133,04072
001134,04071
001135,04072
001136,04071
001137,04072
001138,04074
001139,04072
001140,04071
001141,04069
001142,04072
001143,04072
001144,04071
001145,04075
001146,04073
001147,04072
001148,04071
001149,04070
001150,04068
001151,04072
001152,04073
001153,04071
001154,04071
001155,04071
001156,04074
001157,04073
001158,04072
001159,04072
001160,04074
001161,04071
001162,04072
001163,04072
001164,04075
001165,04070
001166,04071
001167,04069
001168,04072
001169,04071
001170,04070
001171,04073
001172,04067
001173,04071
001174,04070
001175,04072
001176,04071
001177,04073
001178,04067
001179,04072
001180,04069
001181,04071
001182,04072
001183,04067
001184,04071
001185,04070
001186,04072
001187,04072
001188,04071
001189,04071
001190,04071
001191,04072
001192,04071
001193,04072
001194,04071
001195,04071
001196,04071
001197,04072
001198,04069
001199,04073
001200,04072
001201,04073
001202,04070
001203,04071
001204,04072
001205,04073
001206,04074
001207,04073
001208,04072
001209,04071
001210,04071
001211,04073
001212,04070
001213,04070
001214,04070
001215,04071
001216,04071
001217,04074
001218,04071
001219,04071
001220,04073
001221,04071
001222,04072
001223,04071
001224,04072
001225,04070
001226,04073
001227,04071
001228,04071
001229,04071
001230,04073
001231,04071
001232,04072
001233,04073
001234,04071
001235,04073
001236,04069
001237,04072
001238,04070
001239,04071
001240,04071
001241,04069
001242,04072
001243,04071
001244,04073
001245,04070
001246,04073
001247,04071
001248,04071
001249,04071
001250,04071
001251,04072
001252,04072
001253,04070
001254,04071
001255,04072
001256,04072
001257,04070
001258,04071
001259,04071
001260,04072
001261,04071
001262,04072
001263,04071
001264,04073
001265,04071
001266,04072
001267,04072
001268,04073
001269,04072
001270,04071
001271,04071
001272,04070
001273,04071
001274,04072
001275,04072
001276,04075
001277,04069
001278,04073
001279,04071
001280,04072
001281,04070
001282,04073
001283,04071
001284,04072
001285,04071
001286,04074
001287,04074
001288,04071
001289,04073
001290,04073
001291,04072
001292,04071
001293,04071
001294,04073
001295,04071
001296,04072
001297,04072
001298,04073
001299,04070
001300,04071
001301,04069
001302,04069
001303,04070
001304,04073
001305,04069
001306,04070
001307,04072
001308,04071
001309,04069
001310,04071
001311,04071
001312,04072
001313,04073
001314,04072
001315,04072
001316,04070
001317,04070
001318,04071
001319,04073
001320,04071
001321,04070
001322,04070
001323,04067
001324,04071
001325,04069
001326,04070
001327,04068
001328,04071
001329,04072
001330,04073
001331,04071
001332,04074
001333,04070
001334,04072
001335,04071
001336,04074
001337,04072
001338,04071
001339,04072
001340,04071
001341,04073
001342,04074
001343,04072
001344,04071
001345,04073
001346,04071
001347,04073
001348,04071
001349,04072
001350,04074
001351,04072
001352,04073
001353,04068
001354,04075
001355,04071
001356,04071
001357,04071
001358,04071
001359,04071
001360,04071
001361,04071
001362,04072
001363,04073
001364,04071
001365,04072
001366,04070
001367,04071
001368,04072
001369,04071
001370,04072
001371,04071
001372,04072
001373,04070
001374,04071
001375,04071
001376,04070
001377,04073
001378,04071
001379,04072
001380,04073
001381,04071
001382,04075
001383,04072
001384,04072
001385,04074
001386,04073
001387,04072
001388,04073
001389,04072
001390,04071
001391,04071
001392,04068
001393,04071
001394,04072
001395,04071
001396,04071
001397,04072
001398,04071
001399,04074
001400,04070
001401,04073
001402,04072
001403,04069
001404,04071
001405,04070
001406,04072
001407,04072
001408,04072
001409,04070
001410,04072
001411,04072
001412,04071
001413,04071
001414,04071
001415,04070
001416,04072
001417,04071
001418,04071
001419,04071
001420,04070
001421,04071
001422,04073
001423,04071
001424,04071
001425,04071
001426,04073
001427,04072
001428,04072
001429,04074
001430,04073
